1and1.digitalcertvalidation.com	DigiCert
accv.es	Government of Spain - ACCV
acme.jprs.jp	CN=JPRS Organization Validation Authority - G4; O=Japan Registry Services Co., Ltd.; C=JP
acme.trust.telia.com	Telia
actalis.it	Actalis
admin.ch	CN=Swiss Government Public Trust Standard CA 03; OU=Services, Certification Authorities; O=Swiss Government PKI; C=CH
admin@domain	CN=SISP QWAC; OU=SISP-Sociedade Interbancaria e Sistemas de Pagamentos; O=SISP; C=CV
affirmtrust.com	Entrust
almostfreessl.com	CN=SSLCom Secure Certification Authority G1; OU=Certificate Services; O=SSLCom Group ltd.; C=IL
amazon.com	Amazon Trust Services
amazonaws.com	Amazon Trust Services
amazontrust.com	Amazon Trust Services
anf.es	ANF AC
aoc.cat	CATCert
atos.net	Eviden
aws.amazon.com	Amazon Trust Services
awstrust.com	Amazon Trust Services
bjca.cn	BEIJING CERTIFICATE AUTHORITY
buypass.com	Buypass
buypass.no	Buypass
camerfirma.com	Camerfirma
certainly.com	Certainly
certicamara.com	CN=AC SUB CERTICAMARA; OU=NIT 830084433-7; O=CERTICAMARA S.A; L=BOGOTA; ST=DISTRITO CAPITAL; C=CO; StreetAddress=www.certicamara.com
certification authority authorization (caa) domain names recognized in a caa record's issue and issue wild property tags. comma-separated list.	CN=ServerAuth Test Sub CA2; O=Test; C=US
certifyid.com	OISTE
certigna.com	Certigna
certigna.fr	Certigna
certsign.ro	certSIGN
certum.eu	Certum
certum.pl	Certum
cfca.com.cn	CFCA
cisco.com	CN=Cisco XSSL-R2; O=Cisco Systems; C=US
comodo.com	Sectigo
comodoca.com	Sectigo
comsign.co.il	ComSign
comsign.co.uk	ComSign
comsigneurope.com	ComSign
cybertrust.co.jp	Cybertrust Japan / JCSI
cybertrust.ne.jp	Cybertrust Japan / JCSI
d-trust.de	D-Trust
d-trust.net	D-Trust
darkmatter.ae	CN=DigitalTrust High Assurance CA G3; O=DigitalTrust L.L.C.; C=AE
desc.gov.ae	CN=Code Signing Certification Authority; O=UAE Government; C=AE
dfn.de	DFN-PKI
digicert.com	DigiCert
digicert.ne.jp	DigiCert
digitalcertvalidation.com	DigiCert
disig.sk	Disig
docusign.fr	DocuSign
dtrust.de	D-Trust
dvv.fi	CN=DVV Social Welfare and Healthcare Service Certificates - G3R; OU=Sosiaali- ja terveydenhuollon palveluvarmenteet; O=Digi- ja vaestotietovirasto CA; C=FI
e-szigno.hu	Microsec
e-tugra.com	E-Tugra
e-tugra.com.tr	E-Tugra
eca.hinet.net	Chunghwa Telecom
ecert.gov.hk	Certizen
edicomgroup.com	EDICOM
elektronicznypodpis.pl	Krajowa Izba Rozliczeniowa S.A. (KIR)
emsign.com	emSign
entrust.net	Entrust
epki.com.tw	Chunghwa Telecom
etugra.com	E-Tugra
etugra.com.tr	E-Tugra
fineid.fi	CN=DVV Social Welfare and Healthcare Service Certificates - G3R; OU=Sosiaali- ja terveydenhuollon palveluvarmenteet; O=Digi- ja vaestotietovirasto CA; C=FI
firmaprofesional.com	Firmaprofesional
fnmt.es	Government of Spain - FNMT
gca.nat.gov.tw	GRCA
gdca.com.cn	GDCA
geotrust.com	DigiCert
globalsign.com	GlobalSign
globaltrust.eu	GLOBALTRUST
godaddy.com	GoDaddy
gtlsca.nat.gov.tw	CN=政府伺服器數位憑證管理中心 - G1; O=行政院; C=TW
harica.gr	HARICA
hightrusted.com	OISTE
hongkongpost.gov.hk	Certizen
identrust.com	IdenTrust Services
imtrust.cn	CN=SanFront DV TLS RSA CA G1; O=北京中科三方网络技术有限公司; C=CN
intermediatecertificate.digitalcertvalidation.com	DigiCert
itrus.cn	iTrusChina
izenpe.com	Izenpe
izenpe.eus	Izenpe
jprs.jp	CN=JPRS Organization Validation Authority - G4; O=Japan Registry Services Co., Ltd.; C=JP
kamusm.gov.tr	Kamu SM
kpn.com	KPN
letsencrypt.org	Let's Encrypt
master@domain	CN=SISP QWAC; OU=SISP-Sociedade Interbancaria e Sistemas de Pagamentos; O=SISP; C=CV
microsoft.com	Microsoft
msctrustgate.com	CN=Trustgate SMIME Enterprise RSA CA; O=MSC Trustgate.com Sdn. Bhd.; C=MY
multicert.com	CN=MULTICERT QWAC Certification Authority 005; OU=Certification Authority; O=MULTICERT - Serviços de Certificação Electrónica S.A.; C=PT
n/a	CN=Staat der Nederlanden Organization Person CA - 2023; O=Staat der Nederlanden; C=NL
navercloudtrust.com	NAVER Cloud Trust Services
netlock.com	NETLOCK
netlock.eu	NETLOCK
netlock.hu	NETLOCK
netlock.net	NETLOCK
networksolutions.com	Network Solutions
none	CN=LAWtrust Secure CA01; O=LAWtrust; C=ZA
